"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36475","TC-182 Edit Unit without changes","Unit Edit functionality","Wed Nov 06 20:53:19 UTC 2024","failed","Wed Nov 06 20:53:55 UTC 2024","","","",""
"","27532","TC-535 Check 'Місце розташування технічного засобу' functionality","Unit Edit functionality","Wed Nov 06 20:55:23 UTC 2024","passed","Wed Nov 06 20:55:51 UTC 2024","","","",""
"","18389","Verify that unit images uploaded","Create and delete unit functionality","Wed Nov 06 20:52:50 UTC 2024","passed","Wed Nov 06 20:53:09 UTC 2024","","","",""
"","9695","Verify that unit displayed in ""Очікуючі"" tab","Create and delete unit functionality","Wed Nov 06 20:52:40 UTC 2024","passed","Wed Nov 06 20:52:50 UTC 2024","","","",""
"","14538","TC-532 Check 'Назва моделі' input field","Unit Edit functionality","Wed Nov 06 20:54:27 UTC 2024","passed","Wed Nov 06 20:54:41 UTC 2024","","","",""
"","22710","TC-534 Check 'Опис' input field","Unit Edit functionality","Wed Nov 06 20:55:00 UTC 2024","passed","Wed Nov 06 20:55:23 UTC 2024","","","",""
"","18936","TC-533 Check 'Технічні характеристики' input field","Unit Edit functionality","Wed Nov 06 20:54:41 UTC 2024","passed","Wed Nov 06 20:55:00 UTC 2024","","","",""
"","6492","Verify that unit removed from ""Очікуючі"" tab","Create and delete unit functionality","Wed Nov 06 20:53:09 UTC 2024","passed","Wed Nov 06 20:53:15 UTC 2024","","","",""
"","14089","TC-273 Check 'Виробник транспортного засобу' input field","Unit Edit functionality","Wed Nov 06 20:54:12 UTC 2024","passed","Wed Nov 06 20:54:26 UTC 2024","","","",""
"","16720","TC-272 Check 'Назва оголошення' input field","Unit Edit functionality","Wed Nov 06 20:53:56 UTC 2024","passed","Wed Nov 06 20:54:12 UTC 2024","","","",""
